,Unnamed: 0,date,ticker,Open,High,Low,Close,Volume_BTC,volume_adi,volume_obv,volume_cmf,volume_fi,momentum_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,others_dr,others_dlr,others_cr
2443,2443.0,2019-05-15,VRE,36.3,36.9,36.15,36.6,255592.0,-4969268.434986039,6047962.0,0.12233224875952861,35313.2239031964,79.734221429709,154.05411749976483,71.70847779828976,4259.866666666677,1045.4454307637109,35.707884790961096,0.8586143382345268,35.1225,36.89689426283984,33.34810573716017,10.10403167678744,0.9163392631903944,0.0,0.0,35.69833333333334,36.453333333333305,34.94333333333337,4.229889350576406,1.097130242825631,1.0,0.0,9.96512207274539,0.9142857142857151,0.32948124704952164,0.2194710440347868,0.11001020301473485,35.679166666666674,35.15192307692309,35.62108683996458,35.29160559291506,13.079053154035849,29.34630420419289,17.53621299255289,1.1787234042553192,0.6978723404255321,0.48085106382978704,0.07296810328904862,22.913424421111113,138.55898653998278,0.027499999999996305,10.843578740935289,0.009851754656718725,10.83372698627857,35.75,35.15,35.45,35.95,35.2625,33.75,100.0,32.0,68.0,34.15727048598182,36.30659062115635,0.0,0.0,62.08829051800421,9.850295498140731,55.504391847517574,90.3225806451614,78.59237536656879,-9.677419354838614,0.7358823529411609,35.14507147826275,3.3898305084745846,1.6666666666666607,1.6529301951210496,-9.741060419235502
2444,2444.0,2019-05-16,VRE,36.7,37.3,36.6,36.6,483493.0,-5452761.434986039,6531455.0,-0.021907167550622466,30268.4776313112,81.58163291261747,61.531397559013,45.52441071956883,4259.866666666677,1045.4454307637109,35.9557559329147,0.8427529044110738,35.205,37.089648508342854,33.32035149165714,10.706709321646676,0.8700955360707038,0.0,0.0,35.75333333333333,36.5183333333333,34.98833333333337,4.279321275405361,1.0533769063181064,1.0,0.0,11.077971878994457,0.8205128205128216,0.38316516744183815,0.2522098687161971,0.13095529872564105,35.80000000000001,35.194230769230785,35.771688864585414,35.388523697143576,14.30493385376192,30.90485693568651,16.552957524872934,1.2117117117117127,0.7477477477477479,0.4639639639639648,0.0865761949027786,23.034528168430278,146.08411353841467,0.7950000000000017,13.72413997376568,2.284590904808684,11.439549068956996,35.95,35.349999999999994,35.65,35.95,35.2625,33.75,96.0,28.000000000000004,68.0,34.21812507626218,36.30659062115635,0.0,0.0,62.08829051800421,11.776651034294275,53.784381057108476,74.07407407407419,79.04130914883594,-25.92592592592581,0.9922058823529127,35.15853834000367,4.125177809388344,0.0,0.0,-9.741060419235502
2445,2445.0,2019-05-17,VRE,36.0,36.55,36.0,36.0,387808.0,-5840569.434986039,6143647.0,-0.13128046413897618,-7296.276316019044,71.45625923727238,-95.73036141595803,23.393610624881433,-6357.508196721326,1028.3069810790598,36.01486413052744,0.8184776139699664,35.305,37.1347267555564,33.4752732444436,10.365255660990798,0.6899190679399171,0.0,0.0,35.74166666666666,36.46166666666664,35.021666666666704,4.028911168104269,0.6793981481481536,0.0,0.0,11.046593966860215,0.6666666666666673,0.3729954165532945,0.27636697828361656,0.09662843826967793,35.80000000000001,35.201923076923094,35.8068136546492,35.4338182380959,14.528449638948583,29.38402994985802,20.659383720206822,1.0818181818181822,0.8499999999999995,0.2318181818181827,0.09747772737290591,23.129272636321815,81.1197463557958,1.1450000000000031,15.95224982421493,4.605293642997422,11.346956181217507,35.95,35.349999999999994,35.65,35.95,35.2625,33.75,92.0,24.0,68.0,34.341400073211695,36.30659062115635,0.0,0.0,55.557742343427634,11.719979935949015,46.72728694173059,51.85185185185188,72.08283552369566,-48.14814814814812,1.0986764705882095,35.164467262591614,0.0,-1.6393442622950838,-1.6529301951210496,-11.220715166461147
2446,2446.0,2019-05-20,VRE,36.0,36.5,35.6,36.15,134087.0,-5810772.323874929,6277734.0,-0.09405431391810208,-3380.6582708734945,71.88044129073478,-151.02135180889854,9.44231488975755,-5798.812363387999,1032.5915935002226,36.05471185664047,0.8266298525729695,35.4325,37.11899785057644,33.74600214942355,9.51949679292426,0.7127189191954084,0.0,0.0,35.81666666666666,36.54666666666664,35.0866666666667,4.076314564913738,0.7283105022831117,0.0,0.0,11.006843999153316,0.7051282051282054,0.37274281495624706,0.29564214561814267,0.07710066933810439,35.77500000000001,35.215384615384636,35.85961155393393,35.486868738977684,14.182854922974514,27.220212926715558,22.41089702111915,1.0446428571428579,0.8749999999999994,0.16964285714285843,0.10673426226560409,23.134101454141025,63.695293312395066,0.667500000000004,19.822013030015086,7.216030926460174,12.605982103554911,35.95,35.349999999999994,35.65,35.95,35.45,33.75,88.0,20.0,68.0,34.45974407028323,36.30659062115635,0.0,0.0,56.78160658400741,12.005931820812481,49.13035484464063,57.40740740740739,61.11111111111099,-42.59259259259261,1.0901470588235114,35.2579216213795,-0.8230452674897236,0.4166666666666652,0.4158010148663571,-10.850801479654749
2447,2447.0,2019-05-21,VRE,36.3,36.3,35.9,36.0,186305.0,-5903924.823874927,6091429.0,-0.11802266177749575,-6889.9570893201,65.18751705450583,10.735084941358952,4.396196803008379,-214.353959197785,1032.5915935002226,36.091791671730334,0.7839668673156723,35.5375,37.085038367860065,33.98996163213994,8.709326023834336,0.6494308669837839,0.0,0.0,35.89333333333333,36.5833333333333,35.20333333333337,3.844725111441117,0.5772946859903412,0.0,0.0,10.411537108687993,0.648648648648649,0.3563313143892586,0.30777997937236584,0.04855133501689274,35.76666666666667,35.26923076923079,35.88120977640563,35.524878462016375,13.861945543855736,26.293470072184714,21.64789275168654,1.066037735849057,0.924528301886792,0.1415094339622649,0.11343681735291732,23.08018318291028,55.12489233419215,-0.3374999999999986,24.592450303946045,10.344498757634737,14.247951546311308,36.05,35.349999999999994,35.699999999999996,35.95,35.650000000000006,33.75,84.0,16.0,68.0,34.5733543074719,36.30659062115635,0.0,0.0,55.14615733544471,11.810366536895183,45.189709217270455,51.85185185185188,53.70370370370355,-48.14814814814812,1.0447058823529218,35.32046933071172,-0.27700831024931144,-0.4149377593360981,-0.4158010148663571,-11.220715166461147
2448,2448.0,2019-05-22,VRE,36.2,36.35,35.75,35.8,112692.0,-5997834.823874928,5978737.0,-0.12589172228432718,-9125.448933702988,59.89987430174322,-26.62123309551553,-8.925581675207507,-1399.1164591977886,1026.8549735363324,36.0711778484992,0.7655701805841052,35.6325,36.98759224778205,34.277407752217954,7.605934176844434,0.5618039104991388,0.0,0.0,35.99166666666666,36.676666666666634,35.30666666666671,3.8064366751560823,0.3600973236009607,0.0,0.0,10.383778853574674,0.5945945945945941,0.3234581294505716,0.310915609388007,0.012542520062564622,35.81666666666668,35.30000000000002,35.86871596465092,35.545257835200346,13.34551801540284,24.922777346000487,21.822639904117853,0.9669811320754722,0.9669811320754709,1.3322676295501878e-15,0.11680096485505072,23.081103134482586,38.564337533406274,-0.5324999999999989,27.868985782136278,13.707743150675798,14.16124263146048,36.05,35.349999999999994,35.699999999999996,35.95,35.725,33.75,80.0,12.0,68.0,34.682420135173025,36.30659062115635,0.0,0.0,52.95603547691331,11.056771446595004,37.11390857834474,44.44444444444436,51.234567901234385,-55.55555555555564,0.9048529411764576,35.345099359101965,1.7045454545454382,-0.5555555555555647,-0.5571045049455492,-11.71393341553637
2449,2449.0,2019-05-23,VRE,35.5,35.85,35.2,35.25,168859.0,-6140715.516182622,5809878.0,-0.16185741154057473,-21089.306228888207,48.24711264323447,-202.09168596284377,-25.979445073073457,-3220.2691806331427,1026.8549735363324,35.98656757302875,0.7540131625256945,35.7025,36.802715887905194,34.60228411209481,6.163242842407077,0.2943585413670226,0.0,0.0,36.02166666666666,36.721666666666636,35.32166666666671,3.886549761717284,-0.05119047619050841,0.0,1.0,9.803235067572299,0.4142857142857151,0.25014200872139014,0.29876088925468364,-0.048618880533293496,35.82916666666667,35.31730769230771,35.77352889316616,35.52338688444477,12.67390890223739,23.49390261434479,25.4226787362119,0.9121951219512203,1.053658536585365,-0.1414634146341447,0.11450128257014729,23.12400792594424,-37.18592964824351,-0.6024999999999991,28.962514995925904,16.932074261332804,12.0304407345931,36.25,35.349999999999994,35.8,35.95,35.8125,33.75,76.0,8.0,68.0,34.7871233297661,36.30659062115635,0.0,0.0,47.38298682174115,8.791911971028261,34.121038414067485,24.07407407407406,40.12345679012327,-75.92592592592594,0.6169117647058684,35.34427348113594,0.42735042735042333,-1.5363128491620026,-1.5482364148376782,-13.070283600493216
2450,2450.0,2019-05-24,VRE,35.25,35.7,34.8,35.0,277423.0,-6294839.40507151,5532455.0,-0.21001446040743366,-27984.512481904174,46.64339857899764,-89.21394404934108,-0.5837767263547075,-4561.741521058666,1026.8549735363324,35.94792890096735,0.7686118462731256,35.717499999999994,36.76977135283585,34.665228647164135,5.892189278845717,0.1590708289899085,0.0,0.0,36.00999999999999,36.709999999999965,35.310000000000045,3.8878089419603468,-0.22142857142861608,0.0,1.0,7.559319661230479,0.14814814814814786,0.16990696246666204,0.27299010389707934,-0.1030831414304173,35.82083333333334,35.319230769230785,35.654524448063675,35.48461748559701,12.544795166753028,21.6436067063765,26.920765104833567,0.9701492537313435,0.9900497512437803,-0.01990049751243672,0.10690953396347534,23.2293930094338,-82.14285714286045,-0.6174999999999926,28.646540414503384,19.719639208927138,8.926901205576247,36.05,35.349999999999994,35.699999999999996,35.95,35.8125,33.75,72.0,4.0,68.0,34.7871233297661,37.3,0.0,1.0,45.06160779664819,6.189930654511175,29.1545826137573,14.814814814814786,27.777777777777573,-85.18518518518522,0.4501470588235108,35.33832730149947,-0.28490028490028896,-0.7092198581560294,-0.7117467768864127,-13.686806411837226
2451,2451.0,2019-05-27,VRE,34.85,35.25,34.85,35.25,104923.0,-6189916.40507151,5637378.0,-0.22449736462510606,-20239.474984489294,46.80449654190061,-76.24639020996295,-6.0299474556377755,-1218.0890070921987,1034.1896519187349,35.94330122448897,0.7317506616458129,35.709999999999994,36.77329676008112,34.64670323991887,5.955176477631604,0.28369161965428225,0.0,0.0,35.93999999999999,36.584999999999965,35.29500000000004,3.5893155258762617,-0.034883720930263366,0.0,1.0,7.560907308877055,0.2407407407407406,0.12505150500251005,0.2434023841181655,-0.11835087911565545,35.833333333333336,35.367307692307705,35.59228991759234,35.46723841258983,12.424903840946124,20.85737973609444,25.942839758416497,0.9740932642487053,1.036269430051813,-0.062176165803107586,0.09729325333637943,23.28031360029452,-87.36037624926881,-0.3599999999999923,27.796871728715857,22.02326053268426,5.773611196031595,36.05,35.349999999999994,35.699999999999996,35.95,35.3875,33.75,68.0,12.0,56.0,34.7871233297661,37.25,0.0,0.0,47.814915182364814,4.70744692024389,36.66841751188051,24.07407407407406,20.987654320987474,-75.92592592592594,0.2641176470588036,35.33370588181506,0.42735042735042333,0.7142857142857117,0.7117467768864127,-13.070283600493216
2452,2452.0,2019-05-28,VRE,35.3,35.35,34.5,34.6,192016.0,-6336752.1697773915,5445362.0,-0.24569022652373693,-35178.178558133644,46.11703270295894,-55.33393050579127,4.953102852091111,-2791.270567375879,1034.1896519187349,35.91741076661369,0.7435755954812318,35.6825,36.8276091651013,34.537390834898694,6.418323632600312,0.027337640379364276,0.0,0.0,35.82166666666666,36.49166666666664,35.15166666666671,3.7407528032380557,-0.41169154228861404,0.0,1.0,7.846983815595873,0.03571428571428626,0.03663140009467725,0.20204818731346788,-0.16541678721879063,35.770833333333336,35.405769230769245,35.43962993027044,35.402998530175765,12.747506531685028,19.256566129427885,27.112028017913342,0.9796954314720816,0.9695431472081214,0.010152284263960198,0.0829528749399455,23.367748066080058,-121.71460800902686,0.31750000000000256,24.78555267067581,23.572368747099873,1.2131839235759365,35.9,35.349999999999994,35.625,35.95,35.3875,33.75,64.0,8.0,56.0,34.7871233297661,37.201,0.0,0.0,41.93093344374214,1.5877260573680378,35.15677029954877,3.571428571428626,14.153439153438995,-96.42857142857136,0.05264705882351706,35.26207304365883,-2.1216407355021216,-1.8439716312056653,-1.8611847194598852,-14.67324290998766
2453,2453.0,2019-05-29,VRE,34.4,35.1,34.2,34.8,233036.0,-6259073.503110727,5678398.0,-0.3024608163660377,-23494.55304982898,41.079829878246315,-106.20676633653098,-11.433955897860537,-2193.6916656418034,1034.1896519187349,35.84723346482569,0.7592180359331084,35.622499999999995,36.81936047641276,34.42563952358723,6.719688266757057,0.15639269730704222,0.0,0.0,35.636666666666656,36.321666666666644,34.95166666666671,3.844355065007765,-0.1107055961070955,0.0,1.0,8.702365078251091,0.19354838709677272,-0.01710664677151641,0.15821722049647102,-0.17532386726798743,35.67083333333334,35.44038461538463,35.34122532561345,35.35833197238497,13.398224556584596,17.70692073709495,27.612678915458545,0.921951219512196,1.009756097560975,-0.0878048780487789,0.06702500369447781,23.559122789886676,-119.26040061633549,0.37750000000000483,19.347729946525074,24.197212077406473,-4.849482130881398,35.375,35.45,35.4125,35.95,35.3875,33.75,60.0,4.0,56.0,34.7871233297661,37.09296,0.0,0.0,44.20601329117041,-0.36981329584875244,36.63839381107908,19.35483870967727,15.666780451726488,-80.64516129032273,-0.18911764705884337,35.17829405601355,-3.333333333333341,0.5780346820809079,0.5763704716749807,-14.18002466091246
2454,2454.0,2019-05-30,VRE,34.95,35.3,34.5,35.0,109403.0,-6231722.753110726,5787801.0,-0.35896637681195714,-17012.3883284248,40.12717460815326,182.81034340922687,-2.466068645202823,1975.7817752973028,1040.1332706079231,35.84341771926363,0.7632962323397974,35.55,36.71275534829945,34.38724465170054,6.541520946832382,0.2634928100720504,0.0,0.0,35.44666666666666,36.14166666666664,34.75166666666671,3.921384239232452,0.17865707434050707,0.0,0.0,8.720112517580857,0.2580645161290318,-0.04305974164649484,0.11796182806787785,-0.1610215697143727,35.587500000000006,35.482692307692325,35.28872912167292,35.33178886331942,13.647657523791151,18.22855599294087,25.637690531070707,0.9605911330049269,1.0197044334975371,-0.05911330049261021,0.051699686657659165,23.80937778601046,-82.30452674897423,1.0500000000000043,14.539858405128934,24.04027969750803,-9.500421292379096,35.35,35.45,35.400000000000006,35.95,35.3875,33.75,56.00000000000001,92.0,-35.99999999999999,34.7871233297661,36.919382399999996,0.0,0.0,46.464803432561446,-1.3804626193306149,39.91868724177372,25.80645161290318,16.244239631336196,-74.19354838709683,-0.287647058823552,35.154463794856,-2.7777777777777777,0.5747126436781658,0.5730674708984917,-13.686806411837226
