date,bid,bvh,ctd,ctg,eib,fpt,gas,hdb,hpg,msn,mwg,vnl,plx,pnj,pow,ree,ros,sab,stb,tcb,vcb,vhm,vic,vjc,vnm,vpb,vre
2014-09-01,35,25,10,16,18,65,15,20,7,11,19,31,4,27,38,29,2,36,9,22,61,5,63,26,43,47,8
2014-10-01,35,18,8,11,13,63,16,8,13,9,19,25,3,34,36,18,2,37,6,29,70,14,63,24,33,43,3
2014-11-01,27,10,12,16,9,62,17,15,4,8,12,17,3,27,39,19,2,27,8,27,68,0,58,25,42,51,11
2014-12-01,28,17,16,10,23,63,16,17,7,12,20,16,2,33,39,20,3,25,11,17,71,9,47,28,37,61,7
2015-01-01,38,22,8,19,14,61,18,10,5,12,22,21,0,32,33,19,1,31,11,24,73,9,48,31,35,61,3
2015-02-01,26,14,10,20,23,57,15,14,6,12,24,0,0,48,31,22,2,20,11,27,68,11,54,16,31,62,3
2015-03-01,29,33,18,26,14,70,17,12,8,11,12,39,3,46,37,31,2,27,13,17,65,4,62,17,30,35,11
2015-04-01,38,11,19,28,11,73,26,13,12,13,14,24,2,28,33,23,3,30,10,15,65,4,49,4,43,31,4
2015-05-01,28,18,6,20,14,71,39,19,20,13,23,15,3,26,40,16,3,51,9,21,73,6,53,17,37,51,4
2015-06-01,32,25,5,24,18,68,67,21,11,9,14,19,2,26,33,24,2,47,14,13,76,4,58,7,44,48,5
2015-07-01,43,25,9,31,19,65,79,18,22,12,17,23,3,30,24,25,3,32,10,9,71,4,61,10,43,33,5
2015-08-01,32,24,16,25,19,70,89,8,12,14,19,34,1,30,28,22,1,29,10,19,75,9,57,24,51,36,7
2015-09-01,41,18,14,19,12,72,81,13,13,11,14,18,1,29,32,18,2,52,12,17,75,8,63,11,49,41,6
2015-10-01,29,21,8,21,7,68,95,19,12,13,19,20,1,40,33,15,3,27,16,13,83,4,55,8,40,50,5
2015-11-01,39,15,18,15,11,65,92,19,13,11,26,39,1,31,30,12,2,34,17,18,77,4,60,13,53,44,4
2015-12-01,36,23,14,14,16,65,86,11,13,14,22,18,1,34,23,18,1,43,13,14,88,4,59,16,58,55,5
2016-01-01,42,26,4,18,9,55,100,17,6,11,18,41,0,29,25,10,2,30,15,21,68,4,70,8,41,36,0
2016-02-01,31,15,28,16,5,49,78,24,6,11,12,25,3,46,23,15,2,30,13,8,63,0,64,15,49,30,6
2016-03-01,28,19,25,13,7,55,80,14,20,13,10,44,0,39,30,15,2,42,13,13,67,0,64,15,53,41,2
2016-04-01,38,23,32,19,12,48,69,11,22,13,12,46,0,25,25,19,1,36,12,12,71,4,62,19,44,34,5
2016-05-01,38,18,23,24,8,50,56,17,20,12,16,34,1,25,23,18,2,42,14,11,65,6,49,8,48,37,5
2016-06-01,35,12,21,15,7,54,42,12,25,12,32,20,3,24,27,14,2,37,13,11,76,7,52,7,36,43,3
2016-07-01,31,14,27,27,6,54,47,9,28,14,27,27,1,33,26,12,3,32,13,7,79,7,64,9,43,40,2
2016-08-01,32,19,26,22,11,60,45,20,41,13,28,38,0,27,30,13,1,39,12,13,80,8,73,6,73,24,7
2016-09-01,28,29,27,13,8,65,41,3,27,15,14,25,3,33,28,17,3,41,11,16,82,8,68,10,82,45,5
2016-10-01,36,24,46,17,10,66,37,15,45,15,20,27,1,40,28,19,7,41,8,14,77,4,71,9,63,38,2
2016-11-01,37,15,55,24,6,60,32,20,24,15,23,25,3,33,25,15,13,41,7,19,85,4,69,5,71,41,5
2016-12-01,33,10,27,19,13,60,34,18,29,13,41,51,7,36,39,17,8,56,12,12,87,4,67,6,79,46,0
2017-01-01,34,21,25,21,5,58,33,26,22,22,20,19,10,34,33,13,3,45,17,23,96,10,73,3,49,46,9
2017-02-01,26,28,36,21,13,57,32,20,53,21,19,26,17,65,30,23,7,61,21,16,76,8,65,13,57,30,10
2017-03-01,41,9,25,19,11,53,31,17,43,21,28,16,21,41,31,27,14,45,17,20,100,3,72,59,78,56,3
2017-04-01,31,25,40,19,12,54,32,18,54,20,19,26,43,32,27,17,5,55,29,35,88,11,61,41,63,52,11
2017-05-01,32,16,20,20,11,59,29,21,35,24,37,10,50,29,29,34,10,45,18,20,83,4,64,14,55,55,0
2017-06-01,47,17,25,26,13,56,27,10,55,24,41,26,63,32,29,25,13,44,29,19,81,4,64,30,49,54,3
2017-07-01,39,36,30,25,11,57,26,23,41,20,44,15,66,32,34,21,5,42,29,23,83,6,56,16,64,34,2
2017-08-01,48,18,26,27,15,55,25,11,45,22,56,45,48,34,36,23,6,57,25,19,89,8,68,19,66,59,2
2017-09-01,48,14,21,22,14,56,25,15,55,24,62,11,50,33,42,21,4,44,22,13,84,6,69,60,65,45,3
2017-10-01,41,22,18,30,20,53,25,5,65,22,84,72,42,46,40,34,6,73,30,25,92,4,59,39,53,50,6
2017-11-01,40,28,22,32,10,54,23,17,52,20,66,30,53,41,45,34,7,73,31,45,100,10,78,50,100,53,93
2017-12-01,45,26,26,36,14,55,20,23,58,17,60,22,71,42,51,37,8,100,34,34,95,12,80,52,72,57,37
2018-01-01,54,25,40,51,21,58,19,100,69,18,66,17,100,45,45,28,11,47,78,32,93,4,82,100,62,64,60
2018-02-01,44,37,36,72,28,53,18,49,68,17,58,26,81,75,38,23,60,38,60,35,94,10,85,54,67,69,69
2018-03-01,56,48,100,90,30,57,19,69,99,17,78,14,87,57,66,31,89,76,51,48,85,7,84,57,77,88,100
2018-04-01,65,67,47,100,18,56,19,85,86,18,73,21,77,43,50,20,100,65,46,29,83,12,87,44,86,78,78
2018-05-01,62,27,45,94,25,58,20,58,68,16,51,13,63,39,48,24,85,62,37,33,86,100,93,78,76,84,86
2018-06-01,56,19,27,67,14,100,17,60,100,14,77,32,52,38,31,18,54,59,37,89,80,30,68,58,67,96,50
2018-07-01,52,50,31,63,18,80,18,46,81,13,65,32,50,40,36,20,54,46,31,51,85,37,71,64,63,96,45
2018-08-01,58,42,21,68,13,72,20,40,84,15,63,29,69,39,43,23,49,49,37,59,83,37,81,48,75,100,37
2018-09-01,50,28,46,64,11,59,20,49,68,17,45,24,56,41,44,21,41,60,36,73,83,34,78,62,96,100,50
2018-10-01,50,25,22,54,16,55,21,51,63,17,60,32,53,54,42,23,36,51,47,51,85,58,77,58,97,87,44
2018-11-01,54,35,21,56,14,60,19,41,68,15,86,14,51,48,41,20,23,74,36,51,86,67,72,47,72,93,48
2018-12-01,38,21,13,53,13,66,24,26,77,15,67,24,42,44,38,15,19,71,33,50,76,30,86,59,63,59,29
2019-01-01,45,13,41,76,12,77,25,30,64,16,51,20,32,45,34,13,16,47,37,65,86,39,64,58,61,76,35
2019-02-01,43,14,24,47,11,61,25,39,96,15,50,19,32,90,37,22,14,36,30,43,58,54,76,52,55,54,46
2019-03-01,50,16,22,59,15,55,30,27,83,13,58,28,59,59,44,18,11,70,31,42,69,65,90,43,62,54,44
2019-04-01,48,42,47,54,12,54,26,64,51,13,54,27,48,42,33,23,9,95,33,50,70,48,72,58,62,53,50
2019-05-01,50,98,27,32,8,55,31,44,52,17,75,53,57,40,36,24,12,97,27,73,77,36,78,54,62,51,42
2019-06-01,54,57,37,30,11,60,35,39,68,15,75,72,38,42,35,17,9,77,31,63,71,41,80,24,66,52,20
2019-07-01,44,63,31,43,16,66,37,44,80,15,100,89,42,43,34,21,10,49,37,76,78,49,85,33,65,43,44
2019-08-01,45,37,14,40,19,57,31,53,74,15,90,9,36,48,29,23,9,73,29,75,80,46,100,33,75,45,34
2019-09-01,48,34,32,28,14,52,29,37,62,16,84,12,28,49,37,22,9,64,36,83,83,38,73,38,66,62,43
2019-10-01,56,37,16,34,17,53,30,50,82,16,68,38,33,59,41,22,8,94,36,78,78,41,86,34,76,51,54
2019-11-01,50,34,38,43,11,55,32,82,66,15,77,12,24,53,30,15,9,94,32,75,73,59,81,27,71,47,46
2019-12-01,48,34,28,22,16,52,33,59,75,21,88,25,19,49,34,17,11,90,35,62,81,67,81,12,58,37,29
2020-01-01,58,36,24,54,13,53,33,60,57,16,81,21,14,60,33,20,14,53,34,61,82,30,79,37,51,48,21
